Academic_Level,Income,Registration_Time,Recency,Liquor,Vegetables,Pork,Seafood,Candy,Jewellery,Num_Deals_Purchases,Num_Web_Purchases,Num_Catalog_Purchases,Num_Store_Purchases,Num_Web_Visits_Month,Promo_30,Promo_40,Promo_50,Promo_10,Promo_20,Complain,Gender,Total_Purchase,Payment_Method,Age,Total_Spending,Marital_Status,Num_Of_Child
Graduation,75433,05-04-2023,28,801,2,297,0,34,57,2,2,5,10,6,0,-1,0,1,0,0,Other,19,Not Provided,38,1191,Married,1
PhD,70179,21-07-2022,10,533,90,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,Female,26,Card,34,1037,Divorced,1
Master,38576,04-03-2023,2,35,2,7,0,0,0,1,1,0,3,7,0,-1,0,0,0,0,Female,5,Online,34,44,Married,1
Graduation,27116,02-03-2023,78,13,3,21,2,2,3,2,2,0,3,7,0,-1,0,0,0,0,Other,7,Card,39,44,Married,2
PhD,70643,15-10-2021,66,1219,109,304,23,143,33,1,5,8,4,6,0,-1,0,0,0,0,Other,18,Card,32,1831,Married,0
Graduation,40590,02-10-2022,30,155,2,50,6,11,37,5,3,4,3,6,1,1,0,0,0,0,Other,15,Online,31,261,Widow,2
Graduation,56534,23-07-2022,35,692,9,61,10,0,46,4,10,4,7,8,0,-1,1,0,1,0,Female,25,Mobile,42,818,Together,1
Master,64866,26-01-2023,9,509,7,21,7,5,10,4,7,3,7,5,0,-1,0,0,0,0,Male,21,Cash,42,559,Widow,1
Graduation,36807,20-12-2021,88,5,4,5,0,0,5,1,1,0,2,6,0,-1,0,0,0,0,Male,4,Cash,42,19,Together,2
Graduation,40780,08-09-2021,30,230,29,71,13,3,34,4,7,1,5,9,0,0,0,0,0,0,Other,17,Card,34,380,Divorced,1
2n Cycle,67893,01-10-2021,31,712,30,142,49,18,47,2,3,2,9,8,0,-1,0,0,0,0,Other,16,Card,40,998,Divorced,1
Master,52034,17-05-2022,67,147,2,93,7,13,73,5,4,2,5,7,0,-1,0,0,0,0,Male,16,Card,36,335,Divorced,2
Graduation,42523,23-04-2023,96,15,38,11,3,26,35,1,1,1,4,2,0,-1,0,0,0,0,Other,7,Mobile,39,128,Married,0
Graduation,54414,23-01-2022,49,110,20,16,24,26,18,4,3,1,5,4,0,-1,0,0,0,0,Other,13,Cash,38,214,Together,2
Graduation,45160,29-03-2023,9,9,4,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,Female,4,Cash,38,24,Single,2
PhD,38725,10-05-2023,52,32,2,6,2,1,5,2,1,0,4,4,0,-1,0,0,0,0,Male,7,Online,25,48,Married,2
2n Cycle,36301,25-10-2022,53,12,14,35,3,5,12,1,3,0,3,7,0,-1,0,0,0,0,Other,7,Mobile,36,81,Together,1
PhD,70116,26-01-2022,73,708,46,603,95,58,29,1,2,8,12,1,0,-1,0,0,0,0,Female,23,Card,37,1539,Married,0
2n Cycle,57247,08-08-2022,50,100,6,32,37,54,6,2,2,1,7,2,0,-1,0,0,0,0,Male,12,Not Provided,44,235,Together,1
Master,43263,21-11-2021,2,263,8,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,Male,16,Mobile,37,444,Married,1
Graduation,77457,05-03-2023,85,676,13,400,15,45,11,1,2,5,10,1,0,-1,0,0,0,0,Female,18,Not Provided,38,1160,Single,0
Master,18890,10-11-2021,5,7,6,1,7,2,15,1,0,1,2,6,1,1,0,0,0,0,Female,4,Mobile,40,38,Single,0
Graduation,35322,22-08-2021,34,29,11,37,12,7,13,3,2,0,4,8,0,-1,0,0,0,0,Male,9,Mobile,30,109,Together,3
PhD,63159,05-11-2021,74,966,36,586,89,86,37,1,3,5,8,3,1,-1,0,0,0,0,Male,17,Online,31,1800,Single,0
Graduation,62307,17-02-2023,94,88,15,34,10,6,10,1,4,0,4,5,0,-1,0,0,0,0,Female,9,Not Provided,41,163,Single,1
PhD,67472,28-09-2022,93,163,33,127,8,17,69,2,4,2,7,3,0,-1,0,0,0,0,Female,15,Cash,28,417,Married,1
Graduation,51369,25-10-2021,84,298,9,79,0,11,182,2,8,2,4,8,0,-1,0,0,0,0,Other,16,Not Provided,28,579,Together,1
2n Cycle,80910,31-10-2021,71,161,82,369,67,39,41,1,3,3,8,1,0,0,0,0,0,0,Male,15,Card,37,759,Single,0
Basic,22634,16-01-2022,47,3,25,11,8,6,46,1,2,1,2,8,0,-1,0,0,0,0,Male,6,Online,41,99,Together,0
PhD,36802,16-06-2023,23,17,3,2,0,0,1,1,1,0,3,5,0,-1,0,0,0,0,Male,5,Card,37,23,Single,1
PhD,57912,17-03-2023,34,802,2,80,0,0,35,5,8,3,12,5,0,-1,0,0,0,0,Male,28,Mobile,36,919,Divorced,1
Basic,26487,20-05-2022,23,3,10,10,12,14,23,3,2,1,3,5,0,0,0,0,0,0,Female,9,Cash,36,72,Single,1
Graduation,46097,31-03-2022,11,73,26,68,65,4,8,5,3,1,6,4,0,-1,0,0,0,0,Other,15,Card,33,244,Together,1
PhD,37087,11-08-2022,50,195,57,134,15,0,3,3,4,2,8,6,0,-1,0,0,0,0,Female,17,Card,33,404,Married,1
Master,10979,22-05-2023,34,9,6,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,Male,8,Mobile,45,33,Divorced,0
Graduation,23763,07-08-2021,64,23,2,6,6,2,6,1,1,0,3,7,0,-1,0,0,0,0,Male,5,Mobile,41,45,Single,1
Graduation,18701,04-06-2022,95,13,6,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,Other,10,Online,37,47,Single,2
Basic,14188,28-02-2022,40,3,9,11,16,12,27,1,2,0,4,6,0,-1,0,0,0,0,Female,7,Mobile,35,78,Married,0
PhD,69476,30-09-2022,3,261,88,559,63,9,67,1,4,6,4,2,0,-1,0,0,0,0,Female,15,Not Provided,36,1047,Together,0
Graduation,58554,26-09-2021,55,369,26,68,38,0,88,6,8,2,6,7,0,-1,0,0,0,0,Female,22,Online,36,589,Together,2
PhD,57091,23-11-2021,82,463,2,24,6,0,4,2,9,2,5,7,0,-1,0,0,0,0,Male,18,Mobile,32,499,Married,1
Graduation,82582,07-06-2023,54,511,122,550,156,40,241,1,4,9,7,1,1,-1,0,1,0,0,Other,21,Mobile,34,1620,Divorced,0
Graduation,50737,11-05-2022,61,79,2,11,0,0,10,1,2,0,4,6,0,0,0,0,0,0,Female,7,Cash,44,102,Married,1
Graduation,67272,21-12-2022,12,358,37,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,Female,23,Online,40,736,Divorced,1
2n Cycle,42395,04-04-2023,35,49,15,57,24,15,25,4,3,1,4,7,0,-1,0,0,0,0,Other,12,Card,36,185,Single,2
2n Cycle,47025,12-09-2022,98,509,13,59,23,5,29,5,11,1,6,9,0,0,0,0,0,0,Male,23,Online,32,638,Married,1
Graduation,80144,30-09-2022,47,241,134,445,250,192,108,1,3,7,8,1,0,0,0,0,0,0,Other,19,Not Provided,32,1370,Together,0
Graduation,157146,29-04-2022,13,2,2,1725,2,1,1,0,0,28,0,1,0,-1,0,0,0,0,Male,28,Not Provided,33,1733,Together,0
Graduation,39771,06-12-2022,92,7,4,18,2,8,14,1,2,0,3,4,0,0,0,0,0,0,Male,6,Mobile,43,53,Together,1
Master,78427,24-10-2021,36,973,21,595,180,26,138,3,3,7,10,3,0,-1,0,1,0,0,Other,23,Mobile,39,1933,Widow,0
Graduation,62503,18-02-2022,40,479,2,193,110,75,117,4,8,3,11,5,0,-1,0,0,0,0,Other,26,Mobile,42,976,Married,1
PhD,36732,29-12-2022,71,22,7,3,10,1,7,3,1,1,4,2,0,-1,0,0,0,0,Female,9,Card,32,50,Married,2
Graduation,27255,07-11-2022,3,23,3,11,0,1,2,1,1,0,3,7,0,-1,0,0,0,0,Female,5,Card,29,40,Married,1
Graduation,64813,02-01-2023,81,294,2,124,179,97,52,1,7,2,10,5,0,-1,0,0,0,0,Male,20,Online,32,748,Married,1
Graduation,69139,27-01-2023,23,87,14,75,33,15,6,1,4,1,5,4,0,-1,0,0,0,0,Male,11,Online,34,230,Married,1
Graduation,58684,16-06-2023,71,480,37,179,28,7,85,1,5,3,12,2,0,0,0,0,0,0,Female,21,Mobile,36,816,Single,0
PhD,69084,19-11-2022,43,1182,109,199,39,30,30,2,7,3,13,8,0,-1,0,0,0,0,Male,25,Not Provided,39,1589,Married,1
2n Cycle,17003,09-12-2022,37,3,7,12,4,8,7,3,2,0,4,5,0,-1,0,0,0,0,Male,9,Mobile,45,41,Married,1
Graduation,25252,12-07-2022,26,2,5,4,2,2,6,1,1,0,2,8,0,-1,0,0,0,0,Male,4,Card,25,21,Married,1
Graduation,79456,22-08-2021,12,566,44,548,64,83,99,1,5,6,4,3,0,-1,0,0,0,0,Other,16,Not Provided,39,1404,Married,0
PhD,32303,08-03-2023,63,36,2,2,0,0,2,2,1,0,4,5,0,-1,0,0,0,0,Female,7,Mobile,31,42,Single,1
Graduation,86429,21-11-2022,10,465,30,873,29,18,37,0,7,4,7,2,0,-1,0,1,0,0,Male,18,Online,38,1452,Single,0
Graduation,37859,12-01-2022,75,23,3,8,2,1,2,2,1,0,3,8,0,0,0,0,0,0,Other,6,Mobile,37,39,Divorced,3
Graduation,86111,19-04-2022,73,400,30,756,36,40,126,1,5,7,10,2,0,-1,0,0,0,0,Male,23,Not Provided,44,1388,Married,0
Master,39228,10-05-2022,1,8,3,6,0,3,3,1,0,0,3,4,0,-1,0,0,0,0,Other,4,Card,32,23,Divorced,0
PhD,50520,28-01-2023,25,113,2,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,Female,9,Not Provided,42,138,Widow,1
Basic,20425,29-10-2021,5,5,14,5,3,16,17,2,2,0,3,7,0,-1,0,0,0,0,Male,7,Not Provided,33,60,Married,1
Graduation,74716,12-09-2022,92,134,29,421,13,195,71,2,7,3,5,4,0,-1,0,0,0,0,Other,17,Online,43,863,Married,1
Graduation,34916,15-05-2022,89,52,25,82,33,0,42,4,5,1,3,9,0,-1,0,0,0,0,Male,13,Mobile,32,234,Together,2
Graduation,66503,14-08-2021,30,92,66,128,65,3,50,2,4,3,6,3,0,-1,0,0,0,0,Other,15,Card,43,404,Single,1
Graduation,76445,28-09-2021,2,740,109,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,Other,21,Mobile,46,1413,Married,1
Master,43795,16-10-2022,11,315,13,53,4,3,107,3,7,3,4,7,0,-1,0,0,0,0,Female,17,Mobile,23,495,Together,1
Graduation,41411,07-12-2022,11,38,34,38,11,3,18,1,2,1,4,6,0,-1,0,0,0,0,Male,8,Not Provided,36,142,Divorced,0
PhD,59062,03-10-2022,74,47,3,12,3,0,9,2,2,0,3,4,0,-1,0,0,0,0,Male,7,Online,36,74,Married,3
Master,43815,05-04-2022,53,15,12,29,4,7,15,1,2,0,3,6,0,-1,0,0,0,0,Other,6,Not Provided,32,82,Married,1
Master,51412,31-12-2022,42,141,5,29,4,5,14,2,3,2,4,4,0,-1,0,0,0,0,Male,11,Cash,26,198,Married,1
Graduation,30081,21-02-2022,27,37,2,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,Female,5,Online,37,45,Single,1
Graduation,37758,04-10-2021,49,28,4,10,0,0,1,2,1,0,3,8,0,-1,0,0,0,0,Female,6,Not Provided,38,43,Together,2
Master,46423,18-09-2022,6,69,2,16,0,0,8,3,2,0,4,7,0,-1,0,0,0,0,Other,9,Card,40,95,Single,2
Graduation,31590,18-06-2022,40,7,4,15,6,6,3,1,1,0,3,8,0,-1,0,0,0,0,Female,5,Not Provided,40,41,Together,1
Master,36634,28-05-2022,0,214,11,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,Male,15,Online,41,338,Together,1
PhD,69674,22-05-2022,46,555,43,215,11,0,24,3,10,2,10,5,0,-1,0,0,0,0,Male,25,Not Provided,42,848,Divorced,2
Graduation,72967,15-12-2021,1,159,37,179,0,0,125,2,7,2,8,5,1,1,0,0,0,0,Male,19,Cash,29,500,Divorced,1
Graduation,60544,25-08-2021,92,202,4,43,3,5,35,4,5,1,5,6,0,-1,0,0,0,0,Female,15,Cash,39,292,Married,2
Graduation,52852,01-12-2021,93,715,10,99,11,0,47,4,10,7,5,8,1,-1,0,0,0,0,Male,26,Cash,35,882,Married,1
Graduation,18701,04-06-2022,95,13,6,2,10,6,10,4,2,0,4,5,0,-1,0,0,0,0,Other,10,Mobile,33,47,Single,2
Graduation,94384,04-03-2022,62,1112,26,790,160,45,172,0,5,8,5,2,0,-1,0,1,0,0,Female,18,Not Provided,39,2305,Together,0
PhD,44953,21-12-2021,31,729,19,133,11,8,124,1,7,3,13,6,1,1,0,0,0,0,Other,24,Cash,41,1024,Together,0
Graduation,38680,28-03-2022,97,12,2,36,15,5,12,1,2,0,3,7,0,-1,0,0,0,0,Other,6,Not Provided,40,82,Married,1
Master,55284,24-12-2021,60,548,9,140,0,7,63,3,7,5,8,5,0,0,0,0,0,0,Male,23,Online,37,767,Single,1
Master,65073,20-08-2022,65,630,19,177,69,0,8,1,5,3,5,2,0,-1,0,0,0,1,Other,14,Mobile,50,903,Married,0
Graduation,81320,06-02-2022,61,184,35,493,59,103,57,1,4,3,10,2,0,-1,0,0,0,0,Male,18,Card,36,931,Married,0
Graduation,57100,04-12-2022,19,182,23,69,39,3,96,1,3,3,6,3,0,-1,0,0,0,0,Male,13,Cash,38,412,Together,0
2n Cycle,49669,24-05-2023,97,167,7,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,Male,14,Card,45,329,Together,1
Graduation,42192,06-09-2022,40,41,17,15,17,6,7,1,2,1,3,4,0,-1,0,0,0,0,Male,7,Online,39,103,Married,0
Graduation,30096,22-05-2023,30,6,5,11,12,5,9,1,2,0,3,6,0,-1,0,0,0,0,Other,6,Not Provided,34,48,Married,1
Master,38196,18-04-2023,20,31,2,11,0,0,3,3,2,0,4,5,0,-1,0,0,0,0,Male,9,Online,46,47,Married,2
PhD,78420,29-06-2022,75,605,30,674,91,28,28,1,3,10,8,1,0,0,0,0,0,0,Female,22,Cash,46,1456,Single,0
Graduation,63684,26-11-2021,61,576,82,428,208,93,80,3,8,4,8,5,0,-1,0,0,0,0,Male,23,Online,39,1467,Married,1
PhD,33454,08-05-2022,32,77,12,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,Female,10,Card,35,172,Married,1
2n Cycle,45894,27-02-2023,15,28,4,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,Female,5,Mobile,35,54,Married,2
Graduation,56796,16-02-2022,24,657,40,161,62,47,37,3,8,9,7,7,0,-1,0,0,0,0,Male,27,Online,42,1004,Married,1
Graduation,38643,29-11-2022,45,23,4,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,Female,7,Cash,29,52,Single,2
Master,37787,20-09-2022,50,41,3,40,4,3,18,1,3,0,3,8,0,-1,0,0,0,0,Male,7,Card,33,109,Married,1
Graduation,63943,02-09-2021,50,424,186,368,13,97,21,1,6,4,6,5,0,0,0,0,0,0,Male,17,Online,31,1109,Married,1
2n Cycle,72635,03-06-2022,54,391,24,323,104,35,107,1,6,8,6,3,0,-1,0,1,0,0,Female,21,Mobile,42,984,Married,0
2n Cycle,54342,03-07-2022,74,85,12,34,11,10,28,4,3,1,4,6,0,-1,0,0,0,0,Male,12,Not Provided,38,180,Together,2
Graduation,18100,06-08-2022,14,4,3,2,4,3,1,1,0,0,3,5,0,-1,0,0,0,0,Other,4,Online,41,17,Married,0
PhD,84865,09-05-2022,1,1249,18,349,43,16,16,1,2,4,9,4,0,-1,1,1,1,0,Other,16,Cash,38,1691,Single,0
Graduation,61064,31-08-2021,80,388,128,342,0,45,180,5,8,4,11,6,0,-1,0,0,0,0,Other,28,Online,36,1083,Married,1
Graduation,16860,12-09-2021,19,11,6,4,3,3,14,3,1,1,3,7,0,-1,0,0,0,0,Male,8,Card,29,41,Married,2
Graduation,34412,13-02-2022,62,53,14,50,4,36,55,3,5,0,3,9,0,-1,0,0,0,0,Other,11,Mobile,42,212,Single,1
Graduation,32880,04-12-2021,76,9,6,15,7,6,2,1,1,0,3,8,0,-1,0,0,0,0,Other,5,Online,34,45,Married,1
Graduation,61180,23-04-2023,70,404,26,29,6,24,218,2,5,5,6,3,1,1,0,0,0,0,Male,18,Online,41,707,Married,1
PhD,36921,28-07-2022,74,18,3,12,3,1,4,2,2,0,3,7,0,-1,0,0,0,0,Male,7,Online,38,41,Divorced,2
Master,32557,24-02-2023,13,35,5,29,0,4,10,3,2,1,3,5,0,-1,0,0,0,0,Other,9,Mobile,40,83,Single,1
Graduation,18222,31-12-2021,70,13,6,19,12,6,14,1,2,0,3,8,0,-1,0,0,0,0,Female,6,Card,41,70,Married,0
Graduation,90000,23-12-2022,91,676,146,133,94,192,241,1,4,8,5,1,1,-1,0,1,0,0,Other,18,Card,35,1482,Married,0
Graduation,15287,10-10-2021,60,2,4,8,4,3,13,2,1,1,2,7,1,-1,0,0,0,0,Female,6,Mobile,37,34,Divorced,1
Graduation,22304,04-08-2021,91,4,4,7,0,4,2,1,1,0,2,8,0,-1,0,0,0,0,Female,4,Cash,47,21,Divorced,0
PhD,37401,06-05-2023,14,20,5,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,Male,7,Card,47,51,Married,1
Master,78710,23-05-2023,42,722,2,152,119,50,50,3,7,6,12,4,0,-1,0,0,0,0,Female,28,Card,40,1095,Married,1
PhD,66476,07-03-2022,99,373,20,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,Male,20,Online,29,692,Divorced,1
Master,40101,14-10-2021,73,172,5,129,26,24,62,4,6,1,6,7,0,-1,0,0,0,0,Female,17,Not Provided,44,418,Together,1
Graduation,66033,20-01-2022,76,294,37,179,46,59,65,2,8,3,7,7,0,-1,0,0,0,0,Other,20,Not Provided,33,680,Widow,1
Master,82584,04-06-2022,26,1077,70,103,29,91,68,1,3,4,8,1,0,-1,0,0,0,0,Male,16,Not Provided,38,1438,Married,0
Graduation,13672,17-04-2022,86,7,4,9,2,1,5,2,1,0,3,8,0,0,0,0,0,0,Female,6,Not Provided,44,28,Together,2
Master,50898,08-01-2022,88,286,30,242,55,114,135,13,6,2,12,5,0,-1,0,0,0,0,Other,33,Not Provided,35,862,Together,2
PhD,55158,30-07-2021,72,294,2,87,4,11,23,4,7,2,5,7,0,-1,0,0,0,0,Female,18,Mobile,35,421,Married,2
PhD,71322,16-02-2022,57,754,45,226,69,10,204,2,8,5,13,4,0,-1,0,0,0,0,Other,28,Mobile,39,1308,Married,1
PhD,44377,05-10-2021,70,225,2,30,0,0,10,8,5,1,5,8,0,-1,0,0,0,0,Male,19,Cash,31,267,Married,2
Graduation,39722,24-02-2023,92,33,2,5,2,0,8,2,2,0,3,5,0,0,0,0,0,0,Other,7,Not Provided,38,50,Married,1
Graduation,30368,07-11-2022,97,36,2,13,2,0,2,2,2,0,3,8,0,-1,0,0,0,0,Other,7,Not Provided,33,55,Married,1
Master,42394,23-03-2023,69,16,4,10,0,1,4,1,1,0,3,7,0,-1,0,0,0,0,Other,5,Card,40,35,Single,1
Master,54197,03-04-2023,16,163,8,37,6,13,13,2,1,3,6,1,0,-1,0,0,0,0,Male,12,Not Provided,36,240,Married,1
2n Cycle,47823,23-07-2022,0,54,3,5,2,1,10,2,2,0,3,8,0,-1,0,0,0,0,Male,7,Mobile,36,75,Single,1
Graduation,57304,11-03-2022,61,357,82,329,138,17,106,2,7,6,10,5,0,-1,0,0,0,0,Female,25,Card,47,1029,Married,1
Graduation,19986,14-11-2022,74,4,8,5,0,2,6,1,0,0,3,7,0,-1,0,0,0,0,Male,4,Online,39,25,Married,1
Graduation,51287,01-04-2023,10,118,2,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,Male,11,Mobile,27,185,Married,2
PhD,36957,06-09-2021,43,101,4,16,2,1,31,4,3,2,2,9,0,-1,0,0,0,0,Female,11,Cash,35,155,Divorced,2
Graduation,78331,23-01-2023,97,757,140,354,160,169,61,2,10,6,7,4,0,-1,0,0,0,0,Female,25,Mobile,44,1641,Divorced,1
PhD,42564,02-01-2022,28,325,50,186,39,18,198,6,6,8,4,7,1,-1,0,0,0,0,Other,24,Online,44,816,Divorced,1
Graduation,75922,09-12-2022,60,266,140,553,224,23,92,1,4,4,9,1,0,-1,0,0,0,0,Other,18,Cash,24,1298,Single,0
PhD,55424,25-11-2021,6,463,63,184,10,53,107,4,7,5,9,6,1,1,0,0,0,0,Male,25,Cash,46,880,Married,1
Graduation,42011,26-03-2022,46,132,2,16,2,1,39,4,3,1,4,8,0,-1,0,0,0,0,Other,12,Cash,39,192,Together,1
Graduation,55593,21-08-2022,63,294,10,124,11,4,106,2,6,6,3,6,1,-1,0,0,0,0,Other,17,Not Provided,26,549,Together,1
Graduation,54753,12-09-2022,87,198,109,227,7,59,131,3,5,2,11,4,0,-1,0,0,0,0,Other,21,Cash,43,731,Together,1
2n Cycle,87000,15-12-2021,61,197,27,607,67,17,49,1,4,6,7,2,0,0,0,0,0,0,Female,18,Online,50,964,Married,0
Graduation,20587,11-05-2023,39,3,5,6,4,1,9,1,1,1,2,7,0,-1,0,0,0,0,Female,5,Mobile,39,28,Single,1
Master,30560,27-06-2022,6,10,3,5,4,5,7,1,1,0,3,7,0,-1,0,0,0,0,Female,5,Not Provided,33,34,Together,1
Graduation,70440,08-10-2022,49,691,119,499,76,102,88,1,5,10,7,3,0,0,0,1,0,0,Female,23,Card,37,1575,Together,0
Master,45057,01-12-2022,80,38,2,7,3,0,3,1,2,0,3,5,0,-1,0,0,0,0,Female,6,Mobile,36,53,Married,1
Master,46692,06-06-2022,37,171,8,97,24,12,88,3,6,1,5,6,0,-1,0,0,0,0,Female,15,Cash,33,400,Together,1
PhD,42997,07-12-2022,91,5,2,5,0,1,5,1,1,0,2,7,0,-1,0,0,0,0,Female,4,Not Provided,38,18,Single,2
Graduation,26872,16-10-2022,0,4,12,8,3,16,32,1,1,1,2,6,0,-1,0,0,0,0,Male,5,Not Provided,36,75,Married,0
Graduation,83145,22-09-2021,14,778,37,731,39,137,114,1,5,9,11,2,0,-1,0,0,0,0,Other,26,Card,41,1836,Together,0
Graduation,65210,10-03-2023,25,627,2,70,0,7,28,2,9,3,8,6,0,0,0,1,0,0,Other,22,Online,48,734,Married,1
PhD,46231,26-11-2021,87,190,4,55,0,5,12,4,6,1,4,9,0,-1,0,0,0,0,Other,15,Cash,30,266,Single,3
Graduation,37758,04-10-2021,49,28,4,10,0,0,1,2,1,0,3,8,0,-1,0,0,0,0,Other,6,Card,38,43,Together,2
2n Cycle,24884,29-11-2021,32,4,8,7,0,0,3,1,0,0,3,7,0,0,0,0,0,0,Other,4,Mobile,36,22,Married,1
Graduation,49431,03-08-2021,9,220,5,100,26,0,17,2,7,1,5,8,0,-1,0,0,0,0,Female,15,Mobile,39,368,Divorced,1
PhD,65526,11-04-2023,22,398,21,69,12,0,9,1,4,4,8,2,0,-1,0,0,0,0,Female,17,Mobile,38,509,Married,1
2n Cycle,75774,02-05-2023,27,341,23,134,258,14,56,1,7,5,8,4,0,-1,0,0,0,0,Male,21,Not Provided,33,826,Together,1
2n Cycle,21282,11-05-2023,76,2,7,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,Female,7,Cash,41,49,Divorced,1
PhD,47472,16-09-2022,39,57,2,11,0,0,8,2,2,0,4,5,0,-1,0,0,0,0,Other,8,Card,34,78,Together,2
2n Cycle,25176,10-08-2022,79,5,2,4,0,0,5,1,1,0,2,7,0,-1,0,0,0,0,Other,4,Not Provided,23,16,Together,2
Master,66991,11-09-2021,1,497,38,460,189,60,12,3,4,8,6,3,0,-1,0,0,0,0,Male,21,Mobile,38,1256,Married,0
2n Cycle,15716,12-11-2021,8,17,7,30,8,7,26,3,3,0,4,8,0,0,0,0,0,1,Male,10,Card,43,95,Married,1
Graduation,22507,24-11-2021,67,69,2,226,51,157,68,3,10,2,4,9,0,0,0,0,0,0,Other,19,Not Provided,31,573,Single,0
PhD,69867,02-04-2022,30,197,2,512,33,130,54,1,3,5,8,1,0,-1,0,1,0,0,Other,17,Not Provided,36,928,Single,0
Basic,28389,20-11-2021,49,2,7,3,7,4,8,1,1,0,2,7,0,-1,0,0,0,0,Male,4,Mobile,41,31,Together,0
PhD,90687,22-05-2022,98,983,19,672,23,34,51,1,6,2,8,2,0,-1,0,0,0,0,Male,17,Not Provided,38,1782,Divorced,0
Graduation,46524,05-04-2022,70,32,21,35,26,14,52,2,1,1,5,3,0,0,0,0,0,0,Other,9,Card,31,180,Single,1
Graduation,38590,15-05-2022,65,4,3,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,Other,4,Not Provided,40,25,Together,1
PhD,21840,21-07-2022,80,18,2,9,0,0,1,1,1,0,3,9,0,-1,0,0,0,0,Female,5,Online,30,30,Together,1
Graduation,69267,22-09-2021,31,779,46,499,95,73,146,2,3,4,5,7,0,-1,0,0,0,0,Female,14,Online,41,1638,Single,0
2n Cycle,78353,16-04-2022,51,753,124,476,39,153,34,1,10,2,11,8,0,-1,0,0,0,0,Female,24,Online,43,1579,Divorced,1
Graduation,14045,26-01-2023,24,12,2,5,2,1,1,1,1,0,3,7,0,-1,0,0,0,0,Other,5,Online,29,23,Married,1
Graduation,41850,24-12-2021,51,54,7,19,2,13,4,3,3,0,3,8,0,-1,0,0,0,0,Female,9,Card,42,99,Married,2
Graduation,59041,07-05-2023,25,70,4,15,2,2,6,2,2,0,4,5,0,-1,0,0,0,0,Other,8,Online,31,99,Married,2
